SEX,Total,Millions
1971,28663207,28.66
1971,27138105,27.14
1972,28734959,28.73
1972,27229078,27.23
1973,28785508,28.79
1973,27301053,27.3
1974,28777826,28.78
1974,27317881,27.32
1975,28751706,28.75
1975,27329640,27.33
1976,28739804,28.74
1976,27328983,27.33
1977,28724870,28.72
1977,27313195,27.31
1978,28721788,28.72
1978,27297037,27.3
1979,28734889,28.73
1979,27339137,27.34
1980,28782804,28.78
1980,27375834,27.38
1981,28806290,28.81
1981,27376318,27.38
1982,28785149,28.79
1982,27328434,27.33
1983,28798334,28.8
1983,27335822,27.34
1984,28837715,28.84
1984,27384364,27.38
1985,28907917,28.91
1985,27451371,27.45
1986,28978513,28.98
1986,27503407,27.5
1987,29033379,29.03
1987,27558512,27.56
1988,29086827,29.09
1988,27609891,27.61
1989,29160690,29.16
1989,27685661,27.69
1990,29225396,29.23
1990,27774224,27.77
1991,29328133,29.33
1991,27862740,27.86
1992,29394786,29.39
1992,27926822,27.93
1993,29448137,29.45
1993,27984684,27.98
1994,29520010,29.52
1994,28051036,28.05
1995,29576354,29.58
1995,28142324,28.14
1996,29625045,29.63
1996,28222619,28.22
1997,29683302,29.68
1997,28303031,28.3
1998,29745487,29.75
1998,28385334,28.39
1999,29829157,29.83
1999,28501639,28.5
2000,29912473,29.91
2000,28609853,28.61
2001,29989025,29.99
2001,28747185,28.75
2002,30094328,30.09
2002,28883411,28.88
2003,30206863,30.21
2003,29032006,29.03
2004,30344097,30.34
2004,29199402,29.2
2005,30558207,30.56
2005,29439383,29.44
2006,30750721,30.75
2006,29658233,29.66
2007,30977936,30.98
2007,29923362,29.92
2008,31219162,31.22
2008,30197926,30.2
2009,31417455,31.42
2009,30422118,30.42
2010,31621566,31.62
2010,30685082,30.69
2011,31832122,31.83
2011,30967132,30.97
2012,32044401,32.04
2012,31153291,31.15
2013,32266154,32.27
2013,31346278,31.35
2014,32504538,32.5
2014,31565804,31.57
2015,32738290,32.74
2015,31796376,31.8
2016,33008113,33.01
2016,32032342,32.03
2017,33205605,33.21
2017,32187434,32.19
2018,33394407,33.39
2018,32319984,32.32
2019,33576644,33.58
2019,32461446,32.46
2020,33659504,33.66
2020,32492040,32.49
2021,33805670,33.81
2021,32574471,32.57
2022,34134567,34.13
2022,32891641,32.89
2023,34576230,34.58
2023,33338166,33.34
2024,34935953,34.94
2024,33720248,33.72
