Age,Males,Females,Male_Pct,Female_Pct,Majority
0,341978,326016,51.2,48.8,More males
1,353976,336137,51.3,48.7,More males
2,374898,357634,51.2,48.8,More males
3,372868,355532,51.2,48.8,More males
4,386081,369036,51.1,48.9,More males
5,394432,375561,51.2,48.8,More males
6,398788,380479,51.2,48.8,More males
7,407951,389241,51.2,48.8,More males
8,419605,399493,51.2,48.8,More males
9,416423,396884,51.2,48.8,More males
10,417859,398598,51.2,48.8,More males
11,427551,407512,51.2,48.8,More males
12,437614,417219,51.2,48.8,More males
13,438053,416479,51.3,48.7,More males
14,431723,412244,51.2,48.8,More males
15,429628,408631,51.3,48.7,More males
16,433891,412070,51.3,48.7,More males
17,421593,395506,51.6,48.4,More males
18,416568,390348,51.6,48.4,More males
19,422070,396280,51.6,48.4,More males
20,423831,397339,51.6,48.4,More males
21,422376,396423,51.6,48.4,More males
22,420439,402588,51.1,48.9,More males
23,426644,412672,50.8,49.2,More males
24,438356,425587,50.7,49.3,More males
25,448422,443801,50.3,49.7,More males
26,450783,454715,49.8,50.2,More females
27,457280,466141,49.5,50.5,More females
28,449418,459586,49.4,50.6,More females
29,451457,467367,49.1,50.9,More females
30,459835,480570,48.9,51.1,More females
31,458423,483201,48.7,51.3,More females
32,468883,496130,48.6,51.4,More females
33,474585,501896,48.6,51.4,More females
34,471600,501504,48.5,51.5,More females
35,466339,499043,48.3,51.7,More females
36,468972,505701,48.1,51.9,More females
37,457439,494698,48.0,52.0,More females
38,456834,488112,48.3,51.7,More females
39,453895,484737,48.4,51.6,More females
40,439309,469041,48.4,51.6,More females
41,438814,468489,48.4,51.6,More females
42,436518,463251,48.5,51.5,More females
43,439764,466918,48.5,51.5,More females
44,441608,465410,48.7,51.3,More females
45,424380,444375,48.8,51.2,More females
46,394001,412021,48.9,51.1,More females
47,387484,402758,49.0,51.0,More females
48,395836,411124,49.1,50.9,More females
49,403398,418007,49.1,50.9,More females
50,407865,423210,49.1,50.9,More females
51,423569,439253,49.1,50.9,More females
52,438486,456091,49.0,51.0,More females
53,452878,474594,48.8,51.2,More females
54,442064,462083,48.9,51.1,More females
55,452135,472276,48.9,51.1,More females
56,450511,471185,48.9,51.1,More females
57,453788,472083,49.0,51.0,More females
58,449129,471522,48.8,51.2,More females
59,450958,473136,48.8,51.2,More females
60,443919,466453,48.8,51.2,More females
61,433308,454772,48.8,51.2,More females
62,421811,442100,48.8,51.2,More females
63,406478,424072,48.9,51.1,More females
64,388946,406518,48.9,51.1,More females
65,376840,395913,48.8,51.2,More females
66,364718,384023,48.7,51.3,More females
67,346238,367604,48.5,51.5,More females
68,331545,352390,48.5,51.5,More females
69,314742,338644,48.2,51.8,More females
70,310948,337271,48.0,52.0,More females
71,302949,329369,47.9,52.1,More females
72,288270,318542,47.5,52.5,More females
73,286712,317681,47.4,52.6,More females
74,284879,320133,47.1,52.9,More females
75,287779,323712,47.1,52.9,More females
76,296640,337925,46.7,53.3,More females
77,314311,359520,46.6,53.4,More females
78,233552,271672,46.2,53.8,More females
79,218386,258354,45.8,54.2,More females
80,210542,251435,45.6,54.4,More females
81,186087,228827,44.8,55.2,More females
82,157923,199487,44.2,55.8,More females
83,132492,172781,43.4,56.6,More females
84,128866,171950,42.8,57.2,More females
85,119008,162329,42.3,57.7,More females
86,106519,149584,41.6,58.4,More females
87,91632,133110,40.8,59.2,More females
88,77536,117829,39.7,60.3,More females
89,64816,102415,38.8,61.2,More females
