Age,Sex,Population,Year,Age_Group,LFS_Age_Group
0,Persons,667994,2024,0-17 Children,0-15 Below working age
1,Persons,690113,2024,0-17 Children,0-15 Below working age
2,Persons,732532,2024,0-17 Children,0-15 Below working age
3,Persons,728400,2024,0-17 Children,0-15 Below working age
4,Persons,755117,2024,0-17 Children,0-15 Below working age
5,Persons,769993,2024,0-17 Children,0-15 Below working age
6,Persons,779267,2024,0-17 Children,0-15 Below working age
7,Persons,797192,2024,0-17 Children,0-15 Below working age
8,Persons,819098,2024,0-17 Children,0-15 Below working age
9,Persons,813307,2024,0-17 Children,0-15 Below working age
10,Persons,816457,2024,0-17 Children,0-15 Below working age
11,Persons,835063,2024,0-17 Children,0-15 Below working age
12,Persons,854833,2024,0-17 Children,0-15 Below working age
13,Persons,854532,2024,0-17 Children,0-15 Below working age
14,Persons,843967,2024,0-17 Children,0-15 Below working age
15,Persons,838259,2024,0-17 Children,0-15 Below working age
16,Persons,845961,2024,0-17 Children,16-17
17,Persons,817099,2024,0-17 Children,16-17
18,Persons,806916,2024,18-64 Working age,18-24
19,Persons,818350,2024,18-64 Working age,18-24
20,Persons,821170,2024,18-64 Working age,18-24
21,Persons,818799,2024,18-64 Working age,18-24
22,Persons,823027,2024,18-64 Working age,18-24
23,Persons,839316,2024,18-64 Working age,18-24
24,Persons,863943,2024,18-64 Working age,18-24
25,Persons,892223,2024,18-64 Working age,25-34
26,Persons,905498,2024,18-64 Working age,25-34
27,Persons,923421,2024,18-64 Working age,25-34
28,Persons,909004,2024,18-64 Working age,25-34
29,Persons,918824,2024,18-64 Working age,25-34
30,Persons,940405,2024,18-64 Working age,25-34
31,Persons,941624,2024,18-64 Working age,25-34
32,Persons,965013,2024,18-64 Working age,25-34
33,Persons,976481,2024,18-64 Working age,25-34
34,Persons,973104,2024,18-64 Working age,25-34
35,Persons,965382,2024,18-64 Working age,35-49
36,Persons,974673,2024,18-64 Working age,35-49
37,Persons,952137,2024,18-64 Working age,35-49
38,Persons,944946,2024,18-64 Working age,35-49
39,Persons,938632,2024,18-64 Working age,35-49
40,Persons,908350,2024,18-64 Working age,35-49
41,Persons,907303,2024,18-64 Working age,35-49
42,Persons,899769,2024,18-64 Working age,35-49
43,Persons,906682,2024,18-64 Working age,35-49
44,Persons,907018,2024,18-64 Working age,35-49
45,Persons,868755,2024,18-64 Working age,35-49
46,Persons,806022,2024,18-64 Working age,35-49
47,Persons,790242,2024,18-64 Working age,35-49
48,Persons,806960,2024,18-64 Working age,35-49
49,Persons,821405,2024,18-64 Working age,35-49
50,Persons,831075,2024,18-64 Working age,50-64
51,Persons,862822,2024,18-64 Working age,50-64
52,Persons,894577,2024,18-64 Working age,50-64
53,Persons,927472,2024,18-64 Working age,50-64
54,Persons,904147,2024,18-64 Working age,50-64
55,Persons,924411,2024,18-64 Working age,50-64
56,Persons,921696,2024,18-64 Working age,50-64
57,Persons,925871,2024,18-64 Working age,50-64
58,Persons,920651,2024,18-64 Working age,50-64
59,Persons,924094,2024,18-64 Working age,50-64
60,Persons,910372,2024,18-64 Working age,50-64
61,Persons,888080,2024,18-64 Working age,50-64
62,Persons,863911,2024,18-64 Working age,50-64
63,Persons,830550,2024,18-64 Working age,50-64
64,Persons,795464,2024,18-64 Working age,50-64
65,Persons,772753,2024,65+ Older adults,65+
66,Persons,748741,2024,65+ Older adults,65+
67,Persons,713842,2024,65+ Older adults,65+
68,Persons,683935,2024,65+ Older adults,65+
69,Persons,653386,2024,65+ Older adults,65+
70,Persons,648219,2024,65+ Older adults,65+
71,Persons,632318,2024,65+ Older adults,65+
72,Persons,606812,2024,65+ Older adults,65+
73,Persons,604393,2024,65+ Older adults,65+
74,Persons,605012,2024,65+ Older adults,65+
75,Persons,611491,2024,65+ Older adults,65+
76,Persons,634565,2024,65+ Older adults,65+
77,Persons,673831,2024,65+ Older adults,65+
78,Persons,505224,2024,65+ Older adults,65+
79,Persons,476740,2024,65+ Older adults,65+
80,Persons,461977,2024,65+ Older adults,65+
81,Persons,414914,2024,65+ Older adults,65+
82,Persons,357410,2024,65+ Older adults,65+
83,Persons,305273,2024,65+ Older adults,65+
84,Persons,300816,2024,65+ Older adults,65+
85,Persons,281337,2024,65+ Older adults,65+
86,Persons,256103,2024,65+ Older adults,65+
87,Persons,224742,2024,65+ Older adults,65+
88,Persons,195365,2024,65+ Older adults,65+
89,Persons,167231,2024,65+ Older adults,65+
0,Males,341978,2024,0-17 Children,0-15 Below working age
1,Males,353976,2024,0-17 Children,0-15 Below working age
2,Males,374898,2024,0-17 Children,0-15 Below working age
3,Males,372868,2024,0-17 Children,0-15 Below working age
4,Males,386081,2024,0-17 Children,0-15 Below working age
5,Males,394432,2024,0-17 Children,0-15 Below working age
6,Males,398788,2024,0-17 Children,0-15 Below working age
7,Males,407951,2024,0-17 Children,0-15 Below working age
8,Males,419605,2024,0-17 Children,0-15 Below working age
9,Males,416423,2024,0-17 Children,0-15 Below working age
10,Males,417859,2024,0-17 Children,0-15 Below working age
11,Males,427551,2024,0-17 Children,0-15 Below working age
12,Males,437614,2024,0-17 Children,0-15 Below working age
13,Males,438053,2024,0-17 Children,0-15 Below working age
14,Males,431723,2024,0-17 Children,0-15 Below working age
15,Males,429628,2024,0-17 Children,0-15 Below working age
16,Males,433891,2024,0-17 Children,16-17
17,Males,421593,2024,0-17 Children,16-17
18,Males,416568,2024,18-64 Working age,18-24
19,Males,422070,2024,18-64 Working age,18-24
20,Males,423831,2024,18-64 Working age,18-24
21,Males,422376,2024,18-64 Working age,18-24
22,Males,420439,2024,18-64 Working age,18-24
23,Males,426644,2024,18-64 Working age,18-24
24,Males,438356,2024,18-64 Working age,18-24
25,Males,448422,2024,18-64 Working age,25-34
26,Males,450783,2024,18-64 Working age,25-34
27,Males,457280,2024,18-64 Working age,25-34
28,Males,449418,2024,18-64 Working age,25-34
29,Males,451457,2024,18-64 Working age,25-34
30,Males,459835,2024,18-64 Working age,25-34
